,2015_Attock_bombing,2015_Bangkok_bombing,2015_Chattanooga_shootings,Metrojet_Flight_9268,November_2015_Kidal_attack,2015_Spanish_Embassy_attack_in_Kabul,Umpqua_Community_College_shooting,June_2016_Tel_Aviv_shooting,July_2016_Qamishli_bombings,2016_shooting_of_Almaty_police_officers,American_University_of_Afghanistan_attack,Botroseya_Church_bombing,August_2016_Gaziantep_bombing,July_2016_Kabul_bombing,September_2016_Kabul_attacks,Kunduz-Takhar_highway_hostage_crisis,2016_Nampala_attack,Orlando_nightclub_shooting,Sagamihara_stabbings,2016_Thane_stabbing,%C5%BDiti%C5%A1te_shooting,Al-Faqma_ice_cream_parlor_bombing,2017_Amarnath_Yatra_attack,2017_Jerusalem_truck_attack,2017_Las_Vegas_shooting,Manchester_Arena_bombing,2017_Nasiriyah_attacks,2017_Peshawar_Agriculture_Directorate_attack,2017_Plano_shooting,Quebec_City_mosque_shooting,2017_Quetta_church_attack,2017_Sinai_mosque_attack,Sutherland_Springs_church_shooting,2017_Tehran_attacks,Ahvaz_military_parade_attack,Campinas_Cathedral_shooting,Carcassonne_and_Tr%C3%A8bes_attack,"2018_attack_on_the_High_National_Elections_Commission_in_Tripoli,_Libya",September_2018_Kabul_attacks,Kerch_Polytechnic_College_massacre,2018_Minya_bus_attack,2018_M%C3%BCnster_attack,Osmington_shooting,2018_Ouagadougou_attacks,2018_Strasbourg_attack,2018_Sunjuwan_attack,Thousand_Oaks_shooting,Toronto_van_attack,2019_Altamira_prison_riot,"Aurora,_Illinois_shooting",2019_Cairo_bombing,Coatzacoalcos_nightclub_fire,2019_Dayton_shooting,2019_Jolo_Cathedral_bombings,17_August_2019_Kabul_bombing,28_July_2019_Kabul_suicide_bombing,December_2019_Mogadishu_bombing,Paris_police_headquarters_stabbing,2019_Qalat_bombing,2019_Sri_Lanka_Easter_bombings,Suzano_school_shooting,2019_Tripoli_shooting,Zaoyang_car_attack,2020_Afgooye_bombing,Hanau_shootings,Kabul_gurdwara_attack,Pakistan_Stock_Exchange_attack
0,,174,6712,1074,33,,45548,1209,75,665,,,588,2522,,,,338,48710,890,29,637,,,,143,697,1637,,,997,,90886,18326,,526,696,139,,655,842,,,,,,,,,,,,96988,1056,,,2036,3285,,77726,,,705,,,44,28
1,562.0,22,19600,122,55,,95791,5563,773,1056,,,5191,19067,,,34.0,2457,26441,911,104,1227,,,6939.0,1053,940,1189,1103.0,77873.0,1562,,154471,50008,,2258,12115,177,94.0,945,1142,3389.0,560.0,,5195.0,,33217.0,60776.0,1075.0,14471.0,775.0,,99738,17836,13180.0,,2124,3876,427.0,181118,74.0,,912,668.0,,1179,28
2,867.0,19215,16850,88,12,,41708,2695,579,352,,1825.0,19900,18548,95.0,102.0,842.0,319,16610,419,73,450,,,299.0,13138,4827,612,2375.0,56655.0,569,6544.0,70353,22077,11.0,667,21548,135,11.0,98,1098,2424.0,850.0,5156.0,36004.0,,28544.0,46141.0,961.0,4409.0,923.0,,81411,20775,27711.0,86.0,1389,2699,177.0,102911,334.0,,400,257.0,,3619,31
3,306.0,19580,10282,90,10,,29937,1218,359,336,,11877.0,14008,6997,81.0,97.0,320.0,373,12659,255,126,312,246.0,640.0,409.0,387,7107,481,1399.0,23493.0,317,28331.0,48818,8713,19123.0,250,22001,82,14.0,57,1000,968.0,807.0,10576.0,36104.0,,12102.0,26875.0,21660.0,3547.0,582.0,130.0,58215,19461,17210.0,192.0,1400,2079,140.0,67470,2118.0,,242,200.0,,3786,2608
4,240.0,20143,10225,158,9,61.0,28625,1387,335,319,91.0,9523.0,9893,4835,52.0,71.0,237.0,152,9744,178,78,204,1156.0,476.0,229.0,145,6993,255,778.0,15101.0,197,12650.0,31327,7148,15509.0,159,5994,71,20.0,56,363,534.0,580.0,6404.0,19221.0,164.0,7619.0,18144.0,21815.0,3013.0,379.0,129.0,53423,13400,13698.0,114.0,679,1475,110.0,56574,11365.0,,127,164.0,163.0,2556,4735
5,136.0,15361,17554,85,7,71.0,22483,1264,344,202,81.0,5262.0,6315,4137,57.0,68.0,140.0,202,7836,140,56,291,1982.0,217.0,233.0,154,4130,227,568.0,12552.0,169,8664.0,19576,7654,11474.0,121,3236,54,21.0,26,223,252.0,425.0,4789.0,14621.0,433.0,12520.0,13768.0,14749.0,1887.0,296.0,173.0,40760,11698,15875.0,72.0,17759,1281,77.0,41678,11628.0,185.0,104,144.0,21259.0,1763,3244
6,126.0,11365,15009,2052,15,50.0,17651,999,323,249,67.0,4816.0,4926,3527,54.0,62.0,153.0,129,8697,144,96,235,1457.0,161.0,233.0,110,609,181,238.0,9949.0,156,7601.0,16671,7755,10339.0,149,1958,53,10.0,12,209,146.0,350.0,3630.0,16876.0,225.0,8995.0,12349.0,9446.0,1684.0,232.0,106.0,30317,6481,6411.0,87.0,8630,1118,97.0,36368,8553.0,112.0,85,112.0,17202.0,1233,2897
7,127.0,13127,7369,9592,8,31.0,14017,622,256,112,64.0,4551.0,4165,2943,63.0,64.0,140.0,101,7686,93,25,105,1102.0,166.0,38.0,88,264,126,94.0,9300.0,81,6067.0,17600,5685,6817.0,59,1266,47,39.0,4,136,98.0,710.0,747.0,12090.0,177.0,5208.0,10897.0,8996.0,1042.0,126.0,125.0,24966,5473,4948.0,60.0,5830,767,60.0,32807,1088.0,79.0,26,68.0,10017.0,1831,600
8,34.0,9699,6142,19471,11,36.0,14202,382,268,200,44.0,5160.0,4904,2902,62.0,84.0,60.0,99,2720,77,20,149,711.0,168.0,19.0,51,96,92,98.0,5246.0,95,4918.0,19669,931,6335.0,38,937,40,14.0,416,134,143.0,1058.0,164.0,9489.0,130.0,3985.0,5304.0,8520.0,845.0,90.0,41.0,22384,3326,5503.0,22.0,5405,601,57.0,31085,663.0,54.0,24,45.0,8160.0,604,217
9,85.0,7852,5531,20060,15,47.0,10090,271,224,69,51.0,4849.0,365,3502,65.0,275.0,31.0,98,923,65,13,114,458.0,148.0,2673.0,49,87,56,69.0,3928.0,76,5138.0,13672,635,6069.0,40,725,38,9.0,818,63,146.0,585.0,109.0,8349.0,112.0,2773.0,4250.0,6768.0,859.0,90.0,18.0,19925,2456,6894.0,12.0,5421,428,40.0,27365,542.0,37.0,15,56.0,6241.0,387,204
10,71.0,7391,5681,18726,15,82.0,7781,224,271,46,29.0,810.0,268,965,69.0,98.0,34.0,112,884,30,12,80,315.0,124.0,34281.0,23,78,93,71.0,3529.0,73,6195.0,14476,464,1301.0,42,587,47,8.0,571,62,132.0,388.0,136.0,6710.0,79.0,2244.0,3828.0,8519.0,878.0,85.0,5.0,12374,3981,6118.0,19.0,5670,246,33.0,13502,544.0,42.0,17,55.0,5453.0,418,174
11,56.0,6301,4988,15943,9,89.0,7175,187,236,28,20.0,266.0,177,210,41.0,98.0,34.0,79,528,30,8,55,258.0,108.0,29894.0,23,73,79,56.0,2311.0,78,4747.0,6461,742,654.0,32,470,47,4.0,637,60,89.0,409.0,111.0,5611.0,92.0,2391.0,3375.0,7539.0,1093.0,59.0,8.0,11678,1420,5171.0,21.0,1801,381,49.0,9892,309.0,40.0,8,35.0,4948.0,392,147
12,42.0,6396,3664,14561,14,69.0,7686,148,206,25,61.0,172.0,148,238,59.0,158.0,38.0,63,543,27,11,33,203.0,102.0,20201.0,69,73,66,85.0,2059.0,67,466.0,3113,1494,496.0,26,395,70,15.0,625,53,134.0,239.0,87.0,2999.0,92.0,2349.0,4646.0,4125.0,652.0,55.0,13.0,7172,827,5977.0,26.0,196,238,31.0,7627,322.0,27.0,17,29.0,526.0,312,107
13,154.0,6116,3659,13769,3,45.0,6675,150,208,35,102.0,150.0,140,126,83.0,113.0,30.0,66,549,23,29,59,243.0,128.0,16641.0,133,77,73,68.0,1650.0,49,792.0,2443,662,372.0,27,338,44,6.0,474,47,86.0,219.0,72.0,1013.0,213.0,3853.0,3146.0,1637.0,474.0,44.0,12.0,5904,702,5732.0,17.0,133,148,33.0,6867,269.0,21.0,14,32.0,350.0,268,100
14,33.0,5576,3297,27809,11,30.0,5892,108,169,35,27.0,123.0,116,99,86.0,106.0,29.0,45,450,30,16,54,251.0,84.0,19394.0,106,78,79,86.0,1299.0,32,325.0,2287,477,289.0,17,282,33,12.0,545,50,50.0,176.0,76.0,628.0,118.0,1726.0,2716.0,159.0,320.0,66.0,14.0,5477,736,4815.0,37.0,111,163,27.0,10038,227.0,30.0,19,31.0,403.0,244,90
15,29.0,4557,2521,21056,5,37.0,5348,157,189,14,50.0,92.0,121,99,67.0,96.0,24.0,42,442,59,7,43,213.0,102.0,23154.0,63,46,146,106.0,1297.0,45,202.0,2441,481,237.0,14,371,40,12.0,418,59,53.0,154.0,48.0,592.0,69.0,1289.0,2062.0,86.0,328.0,52.0,7.0,4845,747,4050.0,30.0,92,132,21.0,8285,217.0,21.0,6,40.0,429.0,248,86
16,43.0,6135,2703,23357,11,46.0,4161,89,192,25,61.0,97.0,111,133,61.0,96.0,19.0,55,357,43,9,36,111.0,103.0,22558.0,36,36,101,137.0,1251.0,57,230.0,1950,384,272.0,13,303,34,76.0,455,47,230.0,256.0,50.0,489.0,72.0,1140.0,1878.0,89.0,243.0,34.0,10.0,4097,574,4143.0,25.0,127,146,23.0,5822,159.0,18.0,11,27.0,275.0,236,125
