,2015_Juba_An-12_crash,British_Airways_Flight_2276,2015_Russian_Sukhoi_Su-24_shootdown,2015_Shoreham_Airshow_crash,2016_Russian_Defence_Ministry_Tupolev_Tu-154_crash,2016_Silk_Way_Airlines_Antonov_An-12_crash,Afriqiyah_Airways_Flight_209,American_Airlines_Flight_383_(2016),Daallo_Airlines_Flight_159,EgyptAir_Flight_181,EgyptAir_Flight_804,Emirates_Flight_521,Flydubai_Flight_981,2016_Indian_Air_Force_An-32_disappearance,LaMia_Flight_2933,Pakistan_International_Airlines_Flight_661,Tara_Air_Flight_193,2017_Aerogaviota_Antonov_An-26_crash,2017_Myanmar_Air_Force_Shaanxi_Y-8_crash,2017_South_Supreme_Airlines_Antonov_An-26_crash,2017_Valan_International_Antonov_An-26_crash,Air_France_Flight_66,Peruvian_Airlines_Flight_112,Turkish_Airlines_Flight_6491,Air_Vanuatu_Flight_241,2018_Ju-Air_Junkers_Ju_52_crash,Saratov_Airlines_Flight_703,Syria_missile_strikes_(September_2018),US-Bangla_Airlines_Flight_211,Utair_Flight_579,2018_UY_Aviation_King_Air_C90_crash,Aeroflot_Flight_1492,Angara_Airlines_Flight_200,Bek_Air_Flight_2100,Biman_Bangladesh_Airlines_Flight_147,Ethiopian_Airlines_Flight_302,2019_Saha_Airlines_Boeing_707_crash,Ural_Airlines_Flight_178,Caspian_Airlines_Flight_6936,Pakistan_International_Airlines_Flight_8303,Pegasus_Airlines_Flight_2193,Ukraine_International_Airlines_Flight_752,2020_United_States_Air_Force_E-11A_crash
0,,,53966,2549,50000,,3453,443,,53261,140560,41261,97146,14,,1001,26890,,3443,3365,1590,,,22879,43,,57086,,29384,1446,432,20902,2516,16069,307,107156,8322,4311,5289,72939,11318,185209,18847
1,12886.0,12601.0,110491,44376,42008,2875.0,2523,8283,690.0,38979,110583,65852,58856,958,,17267,36491,415.0,10799,3148,1050,6814.0,3206.0,36957,341,1285.0,81613,3507.0,47143,1776,1189,100613,1777,29920,2084,134619,28897,6772,3160,77967,13587,148506,45665
2,12730.0,7328.0,50899,47962,26076,2058.0,2457,3745,4127.0,23670,64534,36447,48880,2077,,30502,23518,1497.0,14429,842,652,5920.0,1492.0,16821,337,5039.0,39390,2375.0,24687,1129,511,42905,671,20236,778,102089,14691,28124,1231,47443,4088,126742,10009
3,8406.0,3965.0,35576,17310,18270,967.0,1537,2487,46377.0,17297,44989,18431,30787,2702,7921.0,18185,15121,636.0,9453,392,299,2449.0,892.0,8898,450,22890.0,21059,1222.0,13754,732,345,27890,566,18638,425,85596,9452,32551,907,48720,2075,135103,4795
4,5364.0,1795.0,28002,11524,11829,639.0,1055,1418,30466.0,12097,46497,15758,21854,2805,41169.0,13999,15080,359.0,7695,305,218,1520.0,632.0,2218,1119,17809.0,14265,908.0,11194,521,269,23581,613,15339,301,56037,7387,30742,673,36146,1965,79324,2327
5,5189.0,1511.0,22955,9173,8861,624.0,814,990,27811.0,8969,33944,15953,7732,2441,26588.0,11566,10630,300.0,9395,293,160,1218.0,576.0,1471,457,12435.0,11205,648.0,9226,454,233,14194,390,12211,267,34276,2953,21018,566,25026,1646,64806,1695
6,4781.0,1660.0,22433,8030,7021,479.0,637,824,26210.0,9131,23699,7086,5141,2154,21951.0,9086,7992,241.0,9057,289,149,1490.0,533.0,1282,283,5301.0,8368,659.0,8247,435,202,11310,362,9810,382,19992,903,16265,472,18984,1321,35567,1727
7,3694.0,1249.0,18128,7505,6173,331.0,390,716,16284.0,4723,21500,4093,6630,2141,20172.0,4016,7550,291.0,1673,274,211,1540.0,391.0,1245,255,967.0,8452,2090.0,9931,334,128,11249,244,6824,331,18150,709,17943,399,13356,1148,22317,1443
8,3644.0,1013.0,13562,6546,6139,325.0,382,689,13202.0,575,19556,3659,4514,2326,12155.0,2321,7802,123.0,453,214,171,1057.0,313.0,1043,309,659.0,2388,1744.0,3968,478,146,11566,219,5495,351,18965,1464,10362,307,10000,803,12908,1161
9,2825.0,950.0,12391,7149,6603,215.0,385,533,11549.0,457,14221,2442,5094,1870,9838.0,1663,1339,96.0,398,172,132,1100.0,307.0,953,314,645.0,1647,993.0,1463,369,142,2546,217,3161,273,14413,1290,7838,667,7308,725,10182,1028
