,2015_Illapel_earthquake,2016_Taiwan_earthquake,2016_Sumatra_earthquake,2016_Afghanistan_earthquake,2016_Kumamoto_earthquakes,2016_Ecuador_earthquake,August_2016_Myanmar_earthquake,2016_Kaikoura_earthquake,2016_Aceh_earthquake,January_2017_Central_Italy_earthquakes,2017_Surigao_earthquake,2017_Leyte_earthquake,2017_Aegean_Sea_earthquake,2017_Jiuzhaigou_earthquake,2017_Ischia_earthquake,2017_Chiapas_earthquake,2017_Central_Mexico_earthquake,2017_Iran%E2%80%93Iraq_earthquake,2018_Swan_Islands_earthquake,2018_Hualien_earthquake,2018_Oaxaca_earthquake,2018_Papua_New_Guinea_earthquake,2018_Osaka_earthquake,2018_Hokkaido_Eastern_Iburi_earthquake,2018_Sulawesi_earthquake_and_tsunami,2018_Haiti_earthquake,2018_Anchorage_earthquake,2019_Luzon_earthquake,2019_Peru_earthquake,2019_Albania_earthquake,2019_Davao_del_Sur_earthquake,2020_Elaz%C4%B1%C4%9F_earthquake,2020_Caribbean_earthquake,2020_Oaxaca_earthquake
0,,702,1557,1175,2259,,1406,,,2452,,,,1344,42,46263,,,3291,,,550,,,,2535,7626,3024,817,4061,291,187,,2845
1,8301.0,3862,2191,1026,37600,32614.0,2617,10244.0,13502.0,6348,189.0,782.0,1721.0,4038,1345,34771,31257.0,11189.0,1018,3788.0,2390.0,2270,10756.0,12530.0,,1543,11029,5958,1873,25288,1826,7769,14694.0,3833
2,30630.0,593,777,372,25604,39581.0,1323,31827.0,12015.0,3667,2711.0,934.0,1546.0,7242,977,21791,49325.0,27491.0,387,19038.0,1947.0,1368,4565.0,15513.0,16455.0,1459,4505,12038,1462,31954,1171,15103,5849.0,1444
3,17082.0,2420,399,343,25125,29482.0,812,22555.0,7187.0,3684,3544.0,985.0,1314.0,17163,453,15682,32209.0,15159.0,257,12609.0,1564.0,18821,2190.0,7964.0,23954.0,872,4270,12282,940,25123,856,9567,2678.0,761
4,14704.0,8950,357,341,20537,18708.0,781,18205.0,4953.0,3283,2366.0,1620.0,844.0,9320,251,11562,25620.0,9927.0,356,7014.0,901.0,12744,1704.0,8150.0,17273.0,820,2638,9513,704,17874,509,6643,800.0,509
5,14247.0,7674,446,230,12923,15782.0,612,14569.0,3851.0,3463,2236.0,1393.0,497.0,4860,180,10485,23983.0,7610.0,289,6109.0,516.0,10018,1259.0,8866.0,19129.0,519,1874,7558,479,15161,429,5462,668.0,338
6,10414.0,7037,323,248,11556,14162.0,543,10992.0,852.0,3299,1944.0,1190.0,291.0,5004,136,7979,23192.0,6123.0,152,5606.0,384.0,6398,1115.0,6398.0,14073.0,447,1450,7008,304,12415,962,4745,589.0,251
7,5539.0,6330,236,410,9921,9809.0,297,10529.0,749.0,1187,1152.0,980.0,236.0,1892,163,6696,17657.0,6163.0,110,4267.0,300.0,4340,748.0,5550.0,6911.0,464,1332,7888,403,10828,349,1738,433.0,156
8,1757.0,5587,205,253,6765,10804.0,326,11457.0,575.0,883,779.0,722.0,187.0,592,160,3236,16484.0,5480.0,82,905.0,194.0,3938,789.0,5261.0,6018.0,369,881,4305,168,7984,221,435,261.0,168
9,963.0,4857,153,249,5776,10099.0,307,11879.0,449.0,586,1177.0,510.0,116.0,461,120,1516,14999.0,1263.0,98,641.0,230.0,3950,719.0,4627.0,6837.0,263,782,3595,174,7016,167,402,475.0,159
10,606.0,5326,117,246,5472,6869.0,456,8983.0,343.0,390,1343.0,789.0,125.0,316,77,1431,11929.0,587.0,72,565.0,243.0,3258,513.0,3835.0,7493.0,222,956,3304,110,2520,106,330,340.0,174
11,643.0,2100,120,120,4036,5879.0,364,7391.0,270.0,499,1085.0,813.0,103.0,296,76,8113,8987.0,335.0,87,519.0,153.0,826,5704.0,3252.0,6982.0,205,742,3853,117,2148,145,359,213.0,116
12,769.0,1549,120,77,3002,5200.0,291,5973.0,239.0,621,880.0,651.0,89.0,253,51,15174,9513.0,249.0,64,358.0,201.0,699,1626.0,726.0,5415.0,197,800,2420,118,2116,152,298,238.0,98
13,798.0,1484,168,96,2864,3909.0,230,5521.0,218.0,465,1123.0,496.0,77.0,286,57,5717,7686.0,360.0,251,545.0,158.0,444,2237.0,495.0,5313.0,134,603,1720,98,1855,103,282,275.0,99
14,608.0,1137,102,98,2219,2297.0,191,6462.0,174.0,365,771.0,373.0,60.0,287,64,3334,6208.0,331.0,151,394.0,101.0,339,802.0,406.0,3864.0,182,525,611,134,1384,113,198,254.0,141
15,531.0,833,87,83,1511,2633.0,177,7541.0,193.0,356,493.0,296.0,60.0,237,88,2520,5486.0,360.0,77,520.0,90.0,436,725.0,367.0,2914.0,191,414,485,164,1088,107,295,217.0,92
16,507.0,1161,79,66,1769,3444.0,154,6072.0,142.0,335,539.0,201.0,57.0,166,67,2082,4744.0,293.0,63,423.0,103.0,672,463.0,285.0,3129.0,145,422,456,123,905,77,229,180.0,86
17,429.0,1715,66,76,2280,3330.0,130,2643.0,88.0,334,530.0,211.0,56.0,150,67,1591,3819.0,315.0,59,306.0,108.0,496,345.0,193.0,3269.0,136,543,369,133,815,79,286,138.0,89
18,475.0,1319,98,85,2114,2737.0,171,1985.0,102.0,279,401.0,260.0,76.0,147,196,1236,2204.0,234.0,62,209.0,96.0,421,335.0,234.0,3476.0,141,445,326,90,730,95,198,134.0,62
19,599.0,994,89,53,1779,2319.0,148,1424.0,122.0,300,401.0,241.0,123.0,157,112,969,2970.0,265.0,50,322.0,96.0,445,297.0,271.0,3165.0,132,427,235,70,1192,86,195,139.0,84
20,624.0,759,75,74,1804,1805.0,174,965.0,123.0,305,368.0,210.0,72.0,145,94,968,3801.0,188.0,64,323.0,84.0,327,534.0,270.0,2613.0,102,377,219,79,902,138,174,165.0,72
21,630.0,608,88,60,1331,1059.0,99,1592.0,97.0,216,231.0,111.0,73.0,117,99,925,4035.0,490.0,66,278.0,93.0,286,658.0,218.0,2241.0,131,241,264,88,925,135,148,148.0,61
22,521.0,547,79,51,913,1479.0,122,1816.0,98.0,235,209.0,91.0,69.0,134,81,751,3407.0,231.0,69,271.0,41.0,370,834.0,204.0,1692.0,110,227,261,105,929,217,123,148.0,61
23,374.0,573,55,35,1216,1736.0,120,1487.0,97.0,214,766.0,83.0,34.0,105,54,773,3279.0,163.0,41,284.0,55.0,373,562.0,258.0,2205.0,88,304,248,169,1348,222,129,153.0,88
24,303.0,747,36,59,1617,2061.0,54,1644.0,90.0,186,547.0,104.0,59.0,77,72,752,2657.0,120.0,36,203.0,91.0,310,431.0,344.0,2283.0,94,333,239,120,842,142,170,111.0,83
25,376.0,712,56,64,1952,1650.0,98,1536.0,79.0,231,394.0,115.0,79.0,104,58,653,1619.0,151.0,40,179.0,69.0,328,372.0,392.0,2251.0,115,242,201,90,700,172,133,130.0,68
26,507.0,858,67,61,1933,1590.0,65,1144.0,54.0,237,349.0,153.0,49.0,89,32,593,2011.0,136.0,42,209.0,59.0,265,250.0,396.0,2102.0,95,332,153,97,867,130,144,132.0,76
27,407.0,763,64,30,1713,1264.0,76,830.0,114.0,207,279.0,123.0,39.0,101,44,562,2818.0,145.0,54,211.0,50.0,316,218.0,389.0,2033.0,122,569,160,90,682,114,144,162.0,73
28,370.0,519,73,54,1508,1247.0,71,1006.0,72.0,250,240.0,107.0,43.0,110,42,433,2486.0,135.0,106,262.0,67.0,364,222.0,400.0,1533.0,126,361,193,127,539,153,94,220.0,123
