,2015_Bangkok_bombing,2015_Chattanooga_shootings,Umpqua_Community_College_shooting,June_2016_Tel_Aviv_shooting,2016_shooting_of_Almaty_police_officers,Botroseya_Church_bombing,August_2016_Gaziantep_bombing,July_2016_Kabul_bombing,Orlando_nightclub_shooting,Sagamihara_stabbings,Al-Faqma_ice_cream_parlor_bombing,Manchester_Arena_bombing,2017_Nasiriyah_attacks,2017_Peshawar_Agriculture_Directorate_attack,Quebec_City_mosque_shooting,2017_Quetta_church_attack,2017_Sinai_mosque_attack,Sutherland_Springs_church_shooting,2017_Tehran_attacks,Ahvaz_military_parade_attack,Campinas_Cathedral_shooting,Carcassonne_and_Tr%C3%A8bes_attack,2018_Minya_bus_attack,2018_M%C3%BCnster_attack,2018_Ouagadougou_attacks,2018_Strasbourg_attack,Thousand_Oaks_shooting,Toronto_van_attack,2019_Altamira_prison_riot,"Aurora,_Illinois_shooting",2019_Dayton_shooting,2019_Jolo_Cathedral_bombings,17_August_2019_Kabul_bombing,Paris_police_headquarters_stabbing,2019_Sri_Lanka_Easter_bombings,Kabul_gurdwara_attack,Pakistan_Stock_Exchange_attack
0,174,6712,45548,1209,665,,588,2522,338,48710,637,143,697,1637,,997,,90886,18326,,526,696,842,,,,,,,,96988,1056,,3285,77726,44,28
1,22,19600,95791,5563,1056,,5191,19067,2457,26441,1227,1053,940,1189,77873.0,1562,,154471,50008,,2258,12115,1142,3389.0,,5195.0,33217.0,60776.0,1075.0,14471.0,99738,17836,13180.0,3876,181118,1179,28
2,19215,16850,41708,2695,352,1825.0,19900,18548,319,16610,450,13138,4827,612,56655.0,569,6544.0,70353,22077,11.0,667,21548,1098,2424.0,5156.0,36004.0,28544.0,46141.0,961.0,4409.0,81411,20775,27711.0,2699,102911,3619,31
3,19580,10282,29937,1218,336,11877.0,14008,6997,373,12659,312,387,7107,481,23493.0,317,28331.0,48818,8713,19123.0,250,22001,1000,968.0,10576.0,36104.0,12102.0,26875.0,21660.0,3547.0,58215,19461,17210.0,2079,67470,3786,2608
4,20143,10225,28625,1387,319,9523.0,9893,4835,152,9744,204,145,6993,255,15101.0,197,12650.0,31327,7148,15509.0,159,5994,363,534.0,6404.0,19221.0,7619.0,18144.0,21815.0,3013.0,53423,13400,13698.0,1475,56574,2556,4735
5,15361,17554,22483,1264,202,5262.0,6315,4137,202,7836,291,154,4130,227,12552.0,169,8664.0,19576,7654,11474.0,121,3236,223,252.0,4789.0,14621.0,12520.0,13768.0,14749.0,1887.0,40760,11698,15875.0,1281,41678,1763,3244
6,11365,15009,17651,999,249,4816.0,4926,3527,129,8697,235,110,609,181,9949.0,156,7601.0,16671,7755,10339.0,149,1958,209,146.0,3630.0,16876.0,8995.0,12349.0,9446.0,1684.0,30317,6481,6411.0,1118,36368,1233,2897
7,13127,7369,14017,622,112,4551.0,4165,2943,101,7686,105,88,264,126,9300.0,81,6067.0,17600,5685,6817.0,59,1266,136,98.0,747.0,12090.0,5208.0,10897.0,8996.0,1042.0,24966,5473,4948.0,767,32807,1831,600
8,9699,6142,14202,382,200,5160.0,4904,2902,99,2720,149,51,96,92,5246.0,95,4918.0,19669,931,6335.0,38,937,134,143.0,164.0,9489.0,3985.0,5304.0,8520.0,845.0,22384,3326,5503.0,601,31085,604,217
9,7852,5531,10090,271,69,4849.0,365,3502,98,923,114,49,87,56,3928.0,76,5138.0,13672,635,6069.0,40,725,63,146.0,109.0,8349.0,2773.0,4250.0,6768.0,859.0,19925,2456,6894.0,428,27365,387,204
10,7391,5681,7781,224,46,810.0,268,965,112,884,80,23,78,93,3529.0,73,6195.0,14476,464,1301.0,42,587,62,132.0,136.0,6710.0,2244.0,3828.0,8519.0,878.0,12374,3981,6118.0,246,13502,418,174
11,6301,4988,7175,187,28,266.0,177,210,79,528,55,23,73,79,2311.0,78,4747.0,6461,742,654.0,32,470,60,89.0,111.0,5611.0,2391.0,3375.0,7539.0,1093.0,11678,1420,5171.0,381,9892,392,147
12,6396,3664,7686,148,25,172.0,148,238,63,543,33,69,73,66,2059.0,67,466.0,3113,1494,496.0,26,395,53,134.0,87.0,2999.0,2349.0,4646.0,4125.0,652.0,7172,827,5977.0,238,7627,312,107
13,6116,3659,6675,150,35,150.0,140,126,66,549,59,133,77,73,1650.0,49,792.0,2443,662,372.0,27,338,47,86.0,72.0,1013.0,3853.0,3146.0,1637.0,474.0,5904,702,5732.0,148,6867,268,100
14,5576,3297,5892,108,35,123.0,116,99,45,450,54,106,78,79,1299.0,32,325.0,2287,477,289.0,17,282,50,50.0,76.0,628.0,1726.0,2716.0,159.0,320.0,5477,736,4815.0,163,10038,244,90
