,2015_Juba_An-12_crash,British_Airways_Flight_2276,2015_Russian_Sukhoi_Su-24_shootdown,2015_Shoreham_Airshow_crash,2016_Russian_Defence_Ministry_Tupolev_Tu-154_crash,2016_Silk_Way_Airlines_Antonov_An-12_crash,Afriqiyah_Airways_Flight_209,American_Airlines_Flight_383_(2016),Daallo_Airlines_Flight_159,EgyptAir_Flight_181,EgyptAir_Flight_804,Emirates_Flight_521,Flydubai_Flight_981,2016_Indian_Air_Force_An-32_disappearance,LaMia_Flight_2933,Pakistan_International_Airlines_Flight_661,Tara_Air_Flight_193,2017_Aerogaviota_Antonov_An-26_crash,2017_Myanmar_Air_Force_Shaanxi_Y-8_crash,2017_South_Supreme_Airlines_Antonov_An-26_crash,2017_Valan_International_Antonov_An-26_crash,Air_France_Flight_66,Peruvian_Airlines_Flight_112,Turkish_Airlines_Flight_6491,Air_Vanuatu_Flight_241,2018_Ju-Air_Junkers_Ju_52_crash,Saratov_Airlines_Flight_703,Syria_missile_strikes_(September_2018),US-Bangla_Airlines_Flight_211,Utair_Flight_579,2018_UY_Aviation_King_Air_C90_crash,Aeroflot_Flight_1492,Angara_Airlines_Flight_200,Bek_Air_Flight_2100,Biman_Bangladesh_Airlines_Flight_147,Ethiopian_Airlines_Flight_302,2019_Saha_Airlines_Boeing_707_crash,Ural_Airlines_Flight_178,Caspian_Airlines_Flight_6936,Pakistan_International_Airlines_Flight_8303,Pegasus_Airlines_Flight_2193,Ukraine_International_Airlines_Flight_752,2020_United_States_Air_Force_E-11A_crash
var,0.009920197026199645,0.005366563524736146,0.004921462766972064,0.004453223969553593,0.007444115393582211,0.005626547111484204,0.007319447175113088,0.004372018454120495,0.008009114412196771,0.006444369821663508,0.007159619611923257,0.004977085119938442,0.00577699189499842,0.018822697258839678,0.007599569709989104,0.0059264525833769175,0.006432524375045956,0.004977528729594632,0.008254698351273605,0.006324152550767713,0.006071743927147753,0.007470653802945822,0.004514825865505798,0.004082452079484128,0.007102037911759521,0.006434961240381225,0.004480664293075865,0.0075820248408611235,0.00495787832818029,0.007706073489454943,0.005119397252139026,0.004464397444904257,0.005630353251994166,0.008040089500013189,0.0061040281917750855,0.007303528520292143,0.004695161533981185,0.011227718940559588,0.0047708727323480995,0.007170586203279102,0.0038948000905593074,0.009643428092049131,0.0035152045866564314
day_to_peak,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,4.0,4.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0
diff_max,0.018843052109181142,0.3934143473147785,0.009197105351125246,0.09347174835649497,0.010570402871958512,0.12258287292817681,0.03571428571428571,0.1316292403248925,0.05241067585019371,0.17843350455550971,0.04948147727514711,0.17026168507033732,0.04120726824761318,0.7114325068870524,0.24132279213266486,0.022658906617839394,0.06382571092317377,0.25783289817232374,0.11762263889849855,0.024837374334713183,0.25735754539762057,0.4187679083094556,0.11848484848484847,0.008294856651991835,0.5384615384615384,0.020372551585743574,0.017755968624187768,0.4048090523338048,0.03562890087802814,0.49275362318840576,0.2437395659432387,0.006705816998650901,0.07923930269413629,0.0364358948669138,0.44282352941176467,0.04092776497014837,0.053926467041108164,0.05141246399901955,0.09282224727546036,0.08098375727857798,0.08930008045052293,0.06962202419389557,0.007435919867028256
peak,12886.0,12601.0,110491.0,47962.0,50000.0,2875.0,3453.0,8283.0,46377.0,53261.0,140560.0,65852.0,97146.0,2805.0,41169.0,30502.0,36491.0,1497.0,14429.0,3365.0,1590.0,6814.0,3206.0,36957.0,1119.0,22890.0,81613.0,3507.0,47143.0,1776.0,1189.0,100613.0,2516.0,29920.0,2084.0,134619.0,28897.0,32551.0,5289.0,77967.0,13587.0,185209.0,45665.0
beki,0.8498184028192317,0.5395371476567672,0.7449842950340007,0.5911064215926207,0.7224687278051991,0.5791901567000393,0.636395671497246,0.6351723328654051,0.641390964749708,0.4431489834826725,0.8513934101427811,0.6902560523556414,0.6710877862014986,0.6338297786814988,0.5296071972636971,0.8377335549671443,0.6100823376002852,0.12417014229557899,0.5696088688166056,0.750352797641755,0.6659713595038166,0.5873742679973404,0.5433708497940204,0.5118917388837025,0.6025041540453276,0.6470970848924114,0.7222415442761003,0.8453198005243399,0.6671801592201828,0.744848967858079,0.6767255715144026,0.606029629205306,0.7584818609607006,0.8192051929193175,0.4770639964164961,0.6927840700490406,0.6572542242776065,0.7483946657293541,0.6719649379343393,0.7742565998388699,0.6832684762634744,0.6526522550850921,0.6161685086357133
exp,0.5948912356921467,0.3089010132297926,0.3528520039519236,0.26750917892976334,0.2971339922565108,0.3438167854550813,0.2550423765995621,0.341238124091669,0.2979020387247623,0.16771085123718088,0.5180064356752869,0.37517441208557556,0.2862992069616461,0.4174422066347633,0.22538772021852327,0.4306943549100949,0.238428436162206,0.0024050962192313508,0.26707862385760606,0.4146261047259757,0.7015731996987333,0.4919419648504233,0.27238718438333,0.1812409870170747,0.5887637887746054,0.36578733054103707,0.3504123704194405,0.5664563331387547,0.3033991933523488,0.6433657192303396,0.6025807062559307,0.21190340796365448,0.7769624652268203,0.4450161948080953,0.14757414470819752,0.2712152915448447,0.35187830930509767,0.4207076621151836,0.3578725360168763,0.385838390980626,0.4194188066953861,0.277327579989347,0.25839298431888935
biexp,0.9312688839311993,0.6021454819415673,0.9135023723184701,0.7280454058878407,0.9605345686385685,0.6882744975556964,0.9165858649621159,0.6860234914491363,0.8541725239254377,0.710390390467936,0.8846744185661641,0.8505657901309642,0.825781301834229,0.7246278939075572,0.6275168713675782,0.9240779634211331,0.8031313386940095,0.3886862926126605,0.8133470101764578,0.8216604472782778,0.7079942147476342,0.6725323305906115,0.6032093414318411,0.909180576772915,0.6791680166187977,0.8484579066572426,0.8605246582495656,0.8876089528472945,0.829179254483075,0.7519612341504858,0.6961127913758074,0.9283638049884216,0.7769624652268097,0.9164887101931436,0.670690559632326,0.8506534059544572,0.7736358753043724,0.9125237851271727,0.8014597373653718,0.8334360305308384,0.7093652294118157,0.8868390244702801,0.8697627946343762
bibeki,0.8844563101524172,0.6265700687170259,0.9105747836380883,0.7199042076237202,0.9306972097388629,0.6791884713708982,0.9144208243313484,0.7310288650603418,0.8168746642184265,0.6672161344449181,0.8950625344435688,0.8401628940274375,0.8543294739529089,0.6674447804086541,0.6504849515978821,0.9609852803942057,0.8197019551159112,0.3932383236314424,0.7800566459997222,0.8637720794905283,0.6668713201186905,0.6187564010172372,0.6568261281928967,0.9258666294996983,0.6052183533847145,0.8269053330896105,0.8804327677575237,0.8714553694906064,0.8474008055573001,0.7453815988119192,0.6804836757694871,0.9280760084390226,0.7584818609086077,0.9140729587577243,0.6176532699708007,0.8992198617252357,0.7901737636362104,0.8383138461883544,0.8110333801313676,0.8806793973980461,0.7438921782221188,0.8737680515597688,0.8948069227832771
stretch,0.8566266088555965,0.5906944389470802,0.9025686749735384,0.7194156571192023,0.9447432786545825,0.6455025792541811,0.8970967348837898,0.7012499008991081,0.7991007275801143,0.6219040096497493,0.897367767374888,0.7962453028571332,0.8468616309599415,0.6628978695945114,0.6608254160913161,0.952136803519707,0.8164868320969076,0.4213983620729773,0.7303933350422744,0.8280063939775353,0.6974784287069333,0.5810602026308012,0.6264737549017387,0.818113937914234,0.6108627650661583,0.7448484468870653,0.8597566445984542,0.8627358768647584,0.8357946341344118,0.7440321825789378,0.6772212421355179,0.9098722788035589,0.7863819115951876,0.906831975284731,0.6508252609303331,0.9051370277884251,0.7438462064263622,0.832103501510292,0.780838950747851,0.8855818511075058,0.7247422661566641,0.8613250930144997,0.8540439301090058
shiftbeki,0.8621748126957766,0.6019678152692638,0.9093551353060294,0.7198195152809749,0.9306972097276018,0.6637108323975835,0.9144208243311981,0.7101743578068165,0.8132057246403169,0.6546985185927487,0.8950625344435355,0.8176497336658879,0.8534924957072969,0.6661569717379776,0.6504849516049287,0.9583591514995485,0.8196898649636619,0.3932383235781246,0.7648027080172833,0.8398739301925839,0.6659713595038159,0.5880427862484776,0.6404671834445339,0.9052408749403099,0.6025041540453276,0.7742237178431289,0.8699578482161786,0.8673155966560399,0.8467846890099289,0.744848967858025,0.6767255715143021,0.92807600843893,0.7584818609607006,0.9086009407699728,0.6176532702459019,0.8992198617217624,0.7559597337572124,0.834089523857562,0.8001717013187686,0.8806793973961388,0.7312064433373633,0.8736847681282809,0.8898559369084783
