,2015_Illapel_earthquake,2016_Taiwan_earthquake,2016_Sumatra_earthquake,2016_Afghanistan_earthquake,2016_Kumamoto_earthquakes,2016_Ecuador_earthquake,August_2016_Myanmar_earthquake,2016_Kaikoura_earthquake,2016_Aceh_earthquake,January_2017_Central_Italy_earthquakes,2017_Surigao_earthquake,2017_Leyte_earthquake,2017_Aegean_Sea_earthquake,2017_Jiuzhaigou_earthquake,2017_Ischia_earthquake,2017_Chiapas_earthquake,2017_Central_Mexico_earthquake,2017_Iran%E2%80%93Iraq_earthquake,2018_Swan_Islands_earthquake,2018_Hualien_earthquake,2018_Oaxaca_earthquake,2018_Papua_New_Guinea_earthquake,2018_Osaka_earthquake,2018_Hokkaido_Eastern_Iburi_earthquake,2018_Sulawesi_earthquake_and_tsunami,2018_Haiti_earthquake,2018_Anchorage_earthquake,2019_Luzon_earthquake,2019_Peru_earthquake,2019_Albania_earthquake,2019_Davao_del_Sur_earthquake,2020_Elaz%C4%B1%C4%9F_earthquake,2020_Caribbean_earthquake,2020_Oaxaca_earthquake
var,0.0061773034946297125,0.01300534751627578,0.00542182837063158,0.007291279263618488,0.008157363269370933,0.007477654792931819,0.0052736512978083985,0.008931158788892446,0.007516611677123316,0.00800526920918754,0.00917914141604107,0.0117448495514756,0.008899686234527662,0.004866764082622299,0.005728000204198842,0.007148429477177343,0.008341973900626222,0.005388854842406164,0.003717727209910018,0.005929934313164934,0.007302160610913166,0.0065672996958676295,0.005229540863582322,0.007879984646802916,0.012612353177634516,0.006672409627044729,0.004671151437443009,0.009859670041268474,0.0069903162555500315,0.008214684728945461,0.006874103593575435,0.006052353877908507,0.003920054863667889,0.003948934325114835
day_to_peak,2.0,4.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,1.0,3.0,1.0,0.0,2.0,2.0,0.0,2.0,1.0,3.0,1.0,2.0,3.0,0.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0
diff_max,0.01440537105237428,0.14722902292454929,0.4365367180417044,0.13763806287170777,0.03120195111605959,0.03469038141784653,0.11894776972931757,0.06819320887106879,0.004441812259401836,0.050940438871473356,0.15659263424233905,0.17190388170055454,0.07138711549622752,0.025679846270308043,0.09569732937685459,0.15249222529371112,0.09128178201425773,0.01097423598241215,0.056804374240583225,0.021565746668065905,0.024116424116424118,0.017127101118829206,0.4803812696650009,0.046039094650205725,0.6032397050294143,0.03935458480913026,0.09978327614231533,0.07150402210124318,0.319978914074855,0.061902082160945414,0.29125683060109286,0.08730736159798928,0.014538043478260872,0.03592814371257485
peak,30630.0,8950.0,2191.0,1175.0,37600.0,39581.0,2617.0,31827.0,13502.0,6348.0,3544.0,1620.0,1721.0,17163.0,1345.0,46263.0,49325.0,27491.0,3291.0,19038.0,2390.0,18821.0,10756.0,15513.0,23954.0,2535.0,11029.0,12282.0,1873.0,31954.0,1826.0,15103.0,14694.0,3833.0
beki,0.7051758791488147,0.7686899214226581,0.1517695023161082,0.7110102785643488,0.8390029421657308,0.8292549967595298,0.7471736489933167,0.7906169595280305,0.7160067167686064,0.682284907347661,0.6139428763472083,0.7297462097267671,0.6919510603237404,0.8201316201713669,0.6428525823889055,0.855961694116294,0.8719555371658573,0.7181992322416522,0.608970875500481,0.7358794257904933,0.486873892591541,0.7202402593289579,0.6876685762647748,0.7309715471707974,0.7454958235886762,0.8391673212361244,0.7318443217479378,0.3443848034528697,0.21458240492368486,0.8871970906303591,0.4590752127154176,0.4659604761771716,0.5755234694289375,0.5572812934253399
exp,0.3860480291151289,0.4980804434728926,0.01583260218608684,0.5353092403636357,0.5113633412325245,0.4716237771996178,0.5026061759106228,0.44656911675548583,0.3460670735002995,0.38341624726023116,0.29375462294655497,0.6408823509816242,0.4002597748904093,0.521992766227015,0.3426197575010922,0.5260493045362973,0.6067783275343996,0.37568108921813237,0.34346956191654654,0.36954111103559284,0.15921242298798743,0.35013696944387973,0.40433109138362466,0.3811724195110171,0.5741571455053855,0.6889742283292388,0.44438388266452356,0.10404574933049138,0.09254644114993094,0.6515390410287532,0.17279705838144732,0.13671809378199828,0.25273075808967094,0.38182783047565794
biexp,0.8391564709210345,0.7655691915644388,0.26159962372572954,0.740010335987864,0.8699731715100129,0.883450250376141,0.7991689874593219,0.9052361312855611,0.8208186306806028,0.7756723024588913,0.7397023254077952,0.7610589308620967,0.7157904613549897,0.8751940688013625,0.6693258987586115,0.9128522316362487,0.8879717962472341,0.8932835489226187,0.6290820764511922,0.8175673641352931,0.7419601482118267,0.813842588690773,0.7454310680203914,0.8894329724815342,0.746005558195868,0.8143787443548605,0.7642965858177484,0.6884626862081145,0.4339518001029402,0.8963565804922066,0.5804336092275335,0.6297430409816736,0.7418166398795587,0.6617191839691281
bibeki,0.829691633149011,0.7867427113086028,0.27796195249017,0.7203441713562704,0.8867699897463022,0.8948300914026501,0.7726504778615673,0.8648432232363549,0.8486002245060035,0.7664285773661712,0.7078691046246351,0.7297462097221984,0.7432849169923861,0.8873471240624254,0.6980259455954491,0.901459560816979,0.8841027358264231,0.8678463431261805,0.6674954912398767,0.8508055812904372,0.7480081991655323,0.8467200987349285,0.7445077385713978,0.8559279397693962,0.7463435363319446,0.8391673212334025,0.7856477273251257,0.6189635667920028,0.40157792767524425,0.8947086080410641,0.5236752269212326,0.6813289106715229,0.7850465661171591,0.6386614760211753
stretch,0.7957277542578985,0.7859242303181362,0.29746645835185914,0.7072378407295239,0.8838736557812221,0.8996028252720035,0.762633419914533,0.8715165192644918,0.8386058224095434,0.7536854503586148,0.7367802106570287,0.7278887935557592,0.7344347107189517,0.8528264201883204,0.698037107023409,0.8995757619458354,0.8812059943639282,0.8272857413364616,0.6627603331599243,0.8424164625755584,0.7416472759030523,0.842704988404698,0.7380944955122624,0.843948766575921,0.7403851608921146,0.8378077926396681,0.7729810731271878,0.6212199616344095,0.35709545518064656,0.8835600711086394,0.5434023138556164,0.6953485676604758,0.7467897050843718,0.5892921013343548
shiftbeki,0.8087133412890799,0.7867427113086204,0.2779619524901268,0.7132699464755077,0.8860168795355845,0.8948300914025893,0.7655739393579399,0.8647341540340121,0.8434644196770309,0.7618923793372184,0.707869104625761,0.7297462097267668,0.7395793237409032,0.8560532089608549,0.6980259455894271,0.8990505530242268,0.8828575798344486,0.8404816931483008,0.6666049170583135,0.8466961075161863,0.7480081991654296,0.8464299535434787,0.7425537688326952,0.8512979949116639,0.7456161443633251,0.8391673212361237,0.7786931713477026,0.6189635671949683,0.4014222230045422,0.8899069082712295,0.5236752262810211,0.6813289106715057,0.7694586330056558,0.6003454416604588
