,2015_Bangkok_bombing,2015_Chattanooga_shootings,Umpqua_Community_College_shooting,June_2016_Tel_Aviv_shooting,2016_shooting_of_Almaty_police_officers,Botroseya_Church_bombing,August_2016_Gaziantep_bombing,July_2016_Kabul_bombing,Orlando_nightclub_shooting,Sagamihara_stabbings,Al-Faqma_ice_cream_parlor_bombing,Manchester_Arena_bombing,2017_Nasiriyah_attacks,2017_Peshawar_Agriculture_Directorate_attack,Quebec_City_mosque_shooting,2017_Quetta_church_attack,2017_Sinai_mosque_attack,Sutherland_Springs_church_shooting,2017_Tehran_attacks,Ahvaz_military_parade_attack,Campinas_Cathedral_shooting,Carcassonne_and_Tr%C3%A8bes_attack,2018_Minya_bus_attack,2018_M%C3%BCnster_attack,2018_Ouagadougou_attacks,2018_Strasbourg_attack,Thousand_Oaks_shooting,Toronto_van_attack,2019_Altamira_prison_riot,"Aurora,_Illinois_shooting",2019_Dayton_shooting,2019_Jolo_Cathedral_bombings,17_August_2019_Kabul_bombing,Paris_police_headquarters_stabbing,2019_Sri_Lanka_Easter_bombings,Kabul_gurdwara_attack,Pakistan_Stock_Exchange_attack
var,0.010434659258968334,0.013951229129857141,0.004963532897226189,0.004703667874939129,0.0046106977832985835,0.008227852675027302,0.00659133862292038,0.007534400069991403,0.0034160555072364086,0.00520683861273634,0.00453942083254646,0.006884699763619731,0.007656285594150062,0.0058234885627165235,0.005616603068574133,0.003939193468983777,0.005049306808587807,0.005363232842505068,0.004276839886870067,0.008655873979854864,0.00366569265690568,0.0036687338504382025,0.009128297818374256,0.005431214813807771,0.005599317035699183,0.006395660245850395,0.00722330739140076,0.00645868628945955,0.007801075683547728,0.0043243801967306995,0.008711493935473498,0.009352449404140095,0.00779090400963127,0.006996826974103479,0.005599263580764445,0.006744415816762199,0.006149311955313072
day_to_peak,4.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0
diff_max,0.11514164445760536,0.37144594800060815,0.05144945645382981,0.09366588910820026,0.08325449385052035,0.09587082667563702,0.044662145189650844,0.03145148608271742,0.03497356649044327,0.017657916324856443,0.11444805194805195,0.2507801202526828,0.012369974697779026,0.04080389768574908,0.015059777310277592,0.014696485623003196,0.03726423409130972,0.3600059363264463,0.015017773694931503,0.007628402737865092,0.026106194690265486,0.00957741364441015,0.09019947961838681,0.10813199764289923,0.008786017949929144,0.06239623685666851,0.25127945727207807,0.14831784264956147,0.08024747937671861,0.19632408618434638,0.021446703044112652,0.07320468509984637,0.07855519070472344,0.06719876416065912,0.10678746472597653,0.15745129015271192,0.011190878378378377
peak,20143.0,19600.0,95791.0,5563.0,1056.0,11877.0,19900.0,19067.0,2457.0,48710.0,1227.0,13138.0,7107.0,1637.0,77873.0,1562.0,28331.0,154471.0,50008.0,19123.0,2258.0,22001.0,1142.0,3389.0,10576.0,36104.0,33217.0,60776.0,21815.0,14471.0,99738.0,20775.0,27711.0,3876.0,181118.0,3786.0,4735.0
beki,0.7997970449307003,0.49748304577239255,0.7464964134219068,0.6689943309007118,0.2955488137108355,0.49589083548358415,0.6351237399840197,0.6470220972556995,0.0004129677611590665,0.6637621769018245,0.5456106126512111,1.1102230246251565e-16,0.7100753004675144,0.7901596696037247,0.6049878803433053,0.7125917253347993,0.7041809559071475,0.2174828910602995,0.6038990816077834,0.7870949164792439,0.3505125711554127,0.684950992833735,0.6063521466083315,0.4471517952361521,0.6560744105983356,0.7708120473198086,0.42971887475016024,0.6296373899173777,0.5856806831371073,0.4435310608066906,0.7190674529648773,0.5855307418533139,0.8185951521556029,0.7887066159930409,0.7451916041524292,0.6992273192321,0.7512887764647498
exp,0.5254247148484301,0.29312923028056537,0.420561116440187,0.34078130525992234,0.05162887607280553,0.24106504896861458,0.37063742609921924,0.2769311737191812,0.0,0.2489053058875732,0.3094829372513598,-1.509903313490213e-14,0.38420294648959596,0.4444088411320294,0.23345663395919913,0.4739781166913244,0.3732701760425682,0.10892334270773152,0.24262188669043483,0.41923345491813835,0.11511827016639065,0.3021605389810873,0.3475334838976363,0.1496662110053706,0.2958164975825234,0.3879111600127594,0.16166777333650317,0.27245717917806944,0.23708768074575404,0.220318657390704,0.30814419309333807,0.24334126004495416,0.5524222812411218,0.47734883577105847,0.3587104881358555,0.36667252820772567,0.5600119509482853
biexp,0.8689901343072977,0.6134861887416911,0.7707551084877833,0.7303484528307056,0.6119996451922058,0.7318255379918852,0.7745353308529452,0.911614838914577,0.0,0.8749756960462373,0.6555708386427668,0.010470473161863336,0.8463179391223519,0.8551234295152307,0.7848102570033331,0.8273269132405818,0.9107267326312753,0.44315546461505917,0.9176607815610586,0.8942594888052247,0.544867531998419,0.8218773298569668,0.7820637628031255,0.5906112579244034,0.8621183551684994,0.8884528895836205,0.5956177606042199,0.8009385547475817,0.9033998727103422,0.528861358242086,0.8932221310140009,0.7418773713173095,0.922268131803127,0.8004822240091838,0.9046942159918916,0.7614825527686329,0.8020405151209925
bibeki,0.8304915537062976,0.5575907074929423,0.8014816421693595,0.7699379612145123,0.5943753520289354,0.6799918192847523,0.7407570001726786,0.8801581987389815,0.25424701462093124,0.9031509598512614,0.6426225998935653,-5.205137393327064e-06,0.8617763554122346,0.8821233769175444,0.8072445390704218,0.798570775738668,0.8602639042762726,0.3988136550987855,0.9029763466545337,0.8990490652920646,0.5674509009593234,0.8765660939057163,0.7441252978044592,0.6135347234304298,0.8769569589343694,0.8900796995804333,0.601913822709877,0.8145766007556073,0.8398189534870188,0.5434992772882004,0.8971114277988738,0.7451300387006183,0.8497574336795893,0.8279982926983597,0.9020423816597605,0.789301202930154,0.7870559744574765
stretch,0.823665450500455,0.5518793535562965,0.8020746648411917,0.7650320596684723,0.6405065574473402,0.6307546571707838,0.695220780178497,0.855422597930234,0.46283018807913423,0.9080446799922371,0.6154835637553733,0.5263036931488343,0.7989488444474293,0.8680476953388513,0.8083494869232045,0.7529153628967552,0.8223469143113314,0.34051621383308683,0.8596362397248744,0.8838479876427007,0.5504937412761,0.8601714699784123,0.6847035354101514,0.6242815733716651,0.8318281214146594,0.8872906018032605,0.5927296386732775,0.8059844438588977,0.8091581506950429,0.5324252637573835,0.9100416875816982,0.7452346915854917,0.839551218391213,0.8231774755767309,0.8963597554581146,0.7878262066889646,0.7494372694567603
shiftbeki,0.826456168436938,0.5557852606371817,0.8014816421693404,0.7694085115264089,0.5943753518358319,0.6694785362307303,0.7018153563279552,0.8768743085919151,0.2542470137186432,0.9031509598511076,0.6299056029136195,0.010467879927162249,0.8068601239772788,0.8768565462884947,0.8072445390702974,0.7635406114484868,0.8423111718725774,0.39881365559991877,0.9002521593622943,0.89008456313578,0.5674092379974561,0.8705183461178254,0.7133107978822106,0.6135347233622712,0.8529063978512027,0.8876897215265831,0.601913805836679,0.8145762689764836,0.836614287014087,0.5415014154862616,0.8971114277995618,0.7451300128010541,0.8339842328614266,0.8267221274661625,0.9018991885955124,0.7893012029301529,0.7542836506226352
expbeki,0.8583471059731494,0.5971262370440473,0.7984556314631157,0.7677800594754193,0.61199964546058,0.7224828507424339,0.7693158558321809,0.9158023452792284,0.25029944841218676,0.9002511759554638,0.651667063422896,0.010470473161863336,0.8865282385315962,0.8762351403334451,0.7984278098350677,0.8002199351092785,0.9027175139938667,0.4308269954703239,0.9182047074177239,0.9212553427222318,0.5520487350109113,0.8602457485515288,0.7745276328094863,0.5508213719237749,0.8967169508733742,0.8896978328052264,0.608485623696948,0.8116436321318363,0.9027031764453122,0.5382924658052517,0.9029690306482976,0.7605852926008715,0.8971346626259358,0.8370133455793297,0.9113098400620147,0.7815437216070398,0.7970783471728998
expbeki_A,1.1262501794431508,1.2595077025271095,0.6414228417278147,1.1463478604941386,0.7120166812449195,2.964769624856328,2.9968463413672506,2.00430085143995,0.6601943692044815,1.402829314663511,0.8096376572384705,49.7015969507478,5.864701088032869,1.2730967961652289,0.762967395533346,0.7529334757362475,1.5748770624567427,0.9827909661460725,0.9426246870414929,2.684318793001242,0.5683025438796481,0.8587787303312668,2.22262410862619,1.8341230839131517,3.7464848987669193,0.0035343117582739354,1.1474525056722453,0.9211420644591035,3.519306809693474,0.7019158449836614,0.9942803054793395,1.6858489397083816,1.747175176278757,1.3526733560374977,0.8159287891338138,0.8418667160702543,3.526751428559636
expbeki_a,0.20690281183606005,0.18035864085669173,0.23234810532014238,0.4141969296819702,0.2564217113358202,0.5025371975456677,0.5845744673566127,0.424614401213157,0.5156777488034493,0.3927619087327728,0.34764907696881125,3.9185709201471672,1.0792278272271156,0.43921693044696075,0.2880222032014826,0.4172675547386829,0.4111003152659046,0.334072907437059,0.40985062429569036,0.4768792415370581,0.41445312681998175,0.5330674491145566,0.5232639053585781,0.654954568799287,0.8465590644538327,0.0011110818267720621,0.32552712573723463,0.2761413683347995,0.4832029481703965,0.34272697649314793,0.20736194489409554,0.3377058318149594,0.2696832926521346,0.36069907021115244,0.24297980861611876,0.25471429938532714,0.9259424145547182
expbeki_B,0.24083622037002764,0.10410995627033941,0.118091211973712,0.06765275918079752,0.009394639175474801,0.017193731939599263,0.02504956161999683,0.010801766068255813,0.023758302341251328,0.01506753636384139,0.07561602976406909,0.010111995820221304,0.03295410387452654,0.11298883899288674,0.01561772737498309,0.06984527328234802,0.025657333295010624,0.013546977528811966,0.010183118638197465,0.05464744863290326,0.00885058082542091,0.025309648577862637,0.11250979396272208,0.04843382752362968,0.017503273467304285,2.808079993455253,0.07445932736499487,0.050450390396598786,0.0036924366096697013,0.05528791245273943,0.03770650323997078,0.038949858912896,0.07227260806474531,0.19339818707705922,0.04630660459954579,0.09452538008005205,0.12164837273489526
