,2015_Chattanooga_shootings,2015_Khan_Bani_Saad_bombing,2015_Suru%C3%A7_bombing,2015_Gurdaspur_attack,2015_Baghdad_market_truck_bombing,2015_Ratchaprasong_bombing,2015_Parramatta_shooting,2015_Ankara_bombings,Trollh%C3%A4ttan_school_attack,"University_of_California,_Merced_stabbing_attack",2015_Beirut_bombings,November_2015_Paris_attacks,2015_Bamako_hotel_attack,December_2015_London_Underground_attack,2015_al-Qamishli_bombings,2016_Pathankot_attack,Zliten_truck_bombing,2016_Jakarta_attacks,Bacha_Khan_University_attack,2016_Dalori_attack,2016_Sayyidah_Zaynab_bombings,Daallo_Airlines_Flight_159,February_2016_Sayyidah_Zaynab_bombings,2016_Grand-Bassam_shootings,March_2016_Ankara_bombing,March_2016_Istanbul_bombing,2016_Brussels_bombings,2016_Lahore_suicide_bombing,11_May_2016_Baghdad_bombings,June_2016_Istanbul_bombing,June_2016_Tel_Aviv_shooting,Orlando_nightclub_shooting,2016_Saudi_Arabia_bombings,2016_shooting_of_Almaty_police_officers,2016_W%C3%BCrzburg_train_attack,2016_Munich_shooting,July_2016_Kabul_bombing,2016_Ansbach_bombing,2016_Normandy_church_attack,2016_Yerevan_hostage_crisis,2016_Charleroi_attack,August_2016_Quetta_attacks,2016_Davao_City_bombing,5_September_2016_Syria_bombings,2016_Uri_attack,Hamam_al-Alil_massacre,German_consulate_in_Mazar-i-Sharif_attack,2016_Khuzdar_bombing,2016_Ohio_State_University_attack,2016_Nagrota_army_base_attack,December_2016_Istanbul_bombings,Botroseya_Church_bombing,2016_Kayseri_bombing,Assassination_of_Andrei_Karlov,Afriqiyah_Airways_Flight_209,January_2017_Baghdad_bombings,2017_Gao_bombing,2017_Parachinar_bombing,Quebec_City_mosque_shooting,2017_Westminster_attack,2017_Saint_Petersburg_Metro_bombing,Palm_Sunday_church_bombings,2017_Jerusalem_Light_Rail_stabbing,2017_Aleppo_suicide_car_bombing,2017_shooting_of_Paris_police_officers,2017_Sukma_attack,Manchester_Arena_bombing,2017_Jakarta_bombings,2017_Minya_attack,Al-Faqma_ice_cream_parlor_bombing,May_2017_Kabul_attack,2017_Notre_Dame_attack,2017_Tehran_attacks,June_2017_Jerusalem_attack,2017_Finsbury_Park_attack,2017_Bishop_International_Airport_incident,June_2017_Pakistan_bombings,2017_Temple_Mount_shooting,2017_Halamish_stabbing_attack,2017_Hamburg_attack,2017_Ouagadougou_attack,2017_Nasiriyah_attacks,2017_Edmonton_attack,2017_Sinai_attack,2017_Peshawar_Agriculture_Directorate_attack,2017_New_York_City_attempted_bombing,2017_Quetta_church_attack,2018_Save_The_Children_Jalalabad_attack,2018_Kabul_ambulance_bombing,2018_Ariel_stabbing,2018_Ouagadougou_attacks,Carcassonne_and_Tr%C3%A8bes_attack,2018_Paris_knife_attack,2018_Peshawar_suicide_bombing,2018_Amsterdam_stabbing_attack,Ahvaz_military_parade_attack,Pittsburgh_synagogue_shooting,2018_Minya_bus_attack,2018_Melbourne_stabbing_attack,Manchester_Victoria_stabbing_attack,2019_Nairobi_hotel_attack,2019_Manbij_bombing,2019_Bogot%C3%A1_car_bombing,Maidan_Shar_attack,2019_Jolo_Cathedral_bombings,2019_Pulwama_attack,Biman_Bangladesh_Airlines_Flight_147,Christchurch_mosque_shootings,2019_Utrecht_shooting,2019_Sri_Lanka_Easter_bombings,Poway_synagogue_shooting,Abha_International_Airport_attack,2019_El_Paso_shooting,B%C3%A6rum_mosque_shooting,17_August_2019_Kabul_bombing,Paris_police_headquarters_stabbing,2019_London_Bridge_stabbing,2019_Jersey_City_shooting,2019_Bagram_Airfield_attack,2020_Streatham_stabbing,Kabul_gurdwara_attack,2020_Afrin_bombing,Pakistan_Stock_Exchange_attack
var,0.013951229129857141,0.01476389009213575,0.006671362133072089,0.0051100918194620926,0.0066444058084210375,0.0036780454270364657,0.013993418515939198,0.007203948878694196,0.005564556816532281,0.004744324987539953,0.01105457860805252,0.004772317753486248,0.006416727989059124,0.003708648497271843,0.00617606849930384,0.006186844779580595,0.0072032868329899415,0.006267745275480795,0.008876834183018068,0.00503563375411444,0.00618539542007573,0.008009114412196771,0.005607288086212189,0.005888747383727482,0.006724438503342054,0.00967901829125422,0.005175336909277424,0.00507732912846284,0.007144977013772728,0.008242644238933202,0.004703667874939129,0.0034160555072364086,0.0060528855912553,0.0046106977832985835,0.008628483170564196,0.0057978289602992695,0.007534400069991403,0.0035120923848370616,0.004151372128602167,0.006495457664014629,0.005226562538100686,0.009546244858381651,0.0076928570097875,0.007045466125134612,0.01044015505601367,0.0070283163654739,0.0037542563472573597,0.004039105198376955,0.007020605511597542,0.006065924194142539,0.005602763631077584,0.008227852675027302,0.005444046008466728,0.0037562645920333725,0.007319447175113088,0.004643885939745895,0.00682217842694023,0.0076321365259442685,0.005616603068574133,0.0047902175709753575,0.003843061561901363,0.010295827947698774,0.006607346406591542,0.005576972999869941,0.0041675954729745125,0.007939150937436993,0.006884699763619731,0.00464421759813882,0.0061629698045849585,0.00453942083254646,0.003967406779341466,0.0037837290638056053,0.004276839886870067,0.004310206964440501,0.005637596862506332,0.0035863106419054074,0.007514827784189123,0.004367347230690861,0.006355737942258452,0.004338531267264247,0.006647071929547022,0.007656285594150062,0.01221512120776256,0.003342793722523958,0.0058234885627165235,0.003915521458540203,0.003939193468983777,0.005587143635932169,0.006494125776943722,0.004438799547366223,0.005599317035699183,0.0036687338504382025,0.004536899466519863,0.0035748694736622766,0.008256515734446891,0.008655873979854864,0.006125816471546284,0.009128297818374256,0.007391564517883133,0.009315559541775527,0.003347760433101098,0.005097758644251391,0.007082864461506303,0.006633479391136258,0.009352449404140095,0.011501084329814065,0.0061040281917750855,0.00633610248031979,0.005437521945009278,0.005599263580764445,0.007058620182775628,0.005186247600858081,0.010831690261997935,0.005564914907420135,0.00779090400963127,0.006996826974103479,0.007341758442980093,0.004823022402543255,0.0042814392152349156,0.0036014970538677553,0.006744415816762199,0.007586894479721194,0.006149311955313072
day_to_peak,1.0,4.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,4.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,3.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,4.0
diff_max,0.37144594800060815,0.699421965317919,0.1193297915815284,0.09944795583646691,0.053633340408971907,0.005385527399875409,0.511996378451788,0.1860775607787127,0.7464759959141982,0.1966013071895425,0.024186498300145704,0.06308752415680718,0.03427089992186945,0.07955449482895784,0.05913978494623655,0.02486909310792903,0.20552396425670186,0.03700213594672698,0.0881198347107438,0.10863239573229874,0.07566462167689163,0.05241067585019371,0.1111111111111111,0.03774432711750168,0.3210695251937985,0.22454139544892138,0.04206131497679555,0.018133254919258008,0.023788040357640886,0.1999377141077546,0.09366588910820026,0.03497356649044327,0.44495064540622625,0.08325449385052035,0.42702985856469355,0.025017204388130997,0.03145148608271742,0.03274887697435155,0.054666212534059955,0.0028439153439153444,0.02288791652642208,0.12851293504559835,0.06475344644750794,0.031007751937984496,0.4664717472827814,0.5208978328173375,0.023948598130841117,0.03732057416267942,0.27227541846356257,0.10265183917878529,0.09717844814648056,0.09587082667563702,0.1806615776081425,0.09821073985424024,0.03571428571428571,0.07584951456310679,0.11781068477460527,0.22437137330754353,0.015059777310277592,0.2176777065060872,0.03685648100127926,0.07120889519753962,0.2866779089376054,0.04089861751152074,0.1175478623152465,0.20915975477821852,0.2507801202526828,0.048590504451038574,0.01941747572815534,0.11444805194805195,0.03277153558052437,0.062282878411910665,0.015017773694931503,0.24223245109321062,0.06798824150146981,0.03524436090225564,0.01484828921885087,0.07979211250382146,0.09262672811059908,0.09930843706777318,0.2016597510373444,0.012369974697779026,0.34648796227351697,0.0021018737981306737,0.04080389768574908,0.025576581904198703,0.014696485623003196,0.24686554258538693,0.0415884476534296,0.03231292517006803,0.008786017949929144,0.00957741364441015,0.1513257895625739,0.008286377195889958,0.4314484895429899,0.007628402737865092,0.10746879101425388,0.09019947961838681,0.1228563396120326,0.8564213564213564,0.0014928279353540598,0.2330184435447593,0.10467563363528232,0.16462856667498543,0.07320468509984637,0.24651553576214924,0.44282352941176467,0.1231747118810928,0.003142183817753339,0.10678746472597653,0.3802950709735107,0.22710349962769918,0.22091025724661317,0.22455203964925655,0.07855519070472344,0.06719876416065912,0.12642692180798415,0.06437003272557269,0.07679648930334614,0.03890075885950048,0.15745129015271192,0.06791338582677166,0.011190878378378377
peak,19600.0,6052.0,21985.0,12477.0,14131.0,49762.0,2153.0,32155.0,9759.0,3818.0,30848.0,1141983.0,28126.0,5008.0,1668.0,77473.0,1220.0,31758.0,9664.0,1028.0,1954.0,46377.0,1324.0,17783.0,33000.0,18560.0,231282.0,40777.0,12186.0,16040.0,5563.0,2457.0,6576.0,1056.0,9518.0,49302.0,19067.0,20674.0,11715.0,15101.0,2970.0,10739.0,15056.0,1284.0,78468.0,1278.0,1708.0,1042.0,13632.0,1158.0,26640.0,11877.0,1178.0,93071.0,3453.0,1642.0,12220.0,1033.0,77873.0,190666.0,57767.0,4213.0,1184.0,31233.0,10076.0,2758.0,13138.0,2679.0,22020.0,1227.0,23473.0,4006.0,50008.0,1731.0,39758.0,2124.0,6185.0,3264.0,2167.0,3611.0,1204.0,7107.0,4016.0,22348.0,1637.0,6750.0,1562.0,2312.0,13831.0,1175.0,10576.0,22001.0,5884.0,9050.0,1290.0,19123.0,97837.0,1142.0,3522.0,1385.0,15406.0,2201.0,10918.0,24031.0,20775.0,193194.0,2084.0,464841.0,26732.0,181118.0,17702.0,1340.0,228937.0,7795.0,27711.0,3876.0,15072.0,34156.0,1813.0,13527.0,3786.0,1012.0,4735.0
beki,0.49748304577239255,0.49974634639296667,0.5469461173770696,0.605074581685515,0.4028503628743757,0.703621106839137,0.2905013706819065,0.40997028661714763,0.33114878341900855,0.4030599831423397,0.7714229587788236,0.6949293419998832,0.5888491573108168,0.27256460662656223,0.7790842595931986,0.7271803408310038,0.6334141402791287,0.6684838211173838,0.786034073548216,0.6145483845023128,0.853584722059133,0.641390964749708,0.7061726437288345,0.6173395539757909,0.7176035141903003,0.5867545432477973,0.7679808449456251,0.6924027499295099,0.5824856581690085,0.6346000538349172,0.6689943309007118,0.0004129677611590665,0.7548641612777072,0.2955488137108355,0.500004163927403,0.6119418762787705,0.6470220972556995,0.4381328235535563,0.483315503580628,0.4081997912089744,0.5118086447220135,0.6942123927304151,0.5493097787615833,0.7782700951393433,0.9458696811360022,0.6859733842947323,0.6416821404619837,0.6166078173628196,0.44017899633961277,0.5730060171962691,0.754036220861496,0.49589083548358415,0.7319891662950635,0.46956920352096154,0.636395671497246,0.6956685266942766,0.5911446123133932,0.43509989117069114,0.6049878803433053,0.6030418193172219,0.5567958749746245,0.43381137950051074,0.6825907234987687,0.6932142919831091,0.7446604927022358,0.6591259258954663,1.1102230246251565e-16,0.6114536441431632,0.5278387395095703,0.5456106126512111,0.5256676280221881,0.6032248789908683,0.6038990816077834,0.4971313964271262,0.4315536779195709,0.37870744439072956,0.6268709112968014,0.583372419944201,0.2897143192482423,0.23192484013373627,0.33802030693006124,0.7100753004675144,0.5730323441421917,0.652049510969803,0.7901596696037247,0.6603102696911437,0.7125917253347993,0.7177186126222208,0.6562912074072671,0.651834876896277,0.6560744105983356,0.684950992833735,0.5905547798837979,0.6343192546000983,0.5901098662722755,0.7870949164792439,0.4122222240260831,0.6063521466083315,0.4535224693561598,0.22368410366116775,0.5728921479528334,0.47295610613958283,0.5811521000469009,0.6280279278852361,0.5855307418533139,0.8886757604753394,0.4770639964164961,0.7076071584402681,0.6146145217953183,0.7451916041524292,0.3898475227463313,0.7353407690728422,0.7378130212814142,0.1828306225814199,0.8185951521556029,0.7887066159930409,0.765188073177461,0.7401530528985357,0.7303197483964978,0.2061414404504993,0.6992273192321,0.7995369652150952,0.7512887764647498
exp,0.29312923028056537,0.2583543910841045,0.3063072516331512,0.4142906270212069,0.20575608039768223,0.4281227311525334,0.08636712287899706,0.2713874108455542,0.12074079648527103,0.15026360641179304,0.4503657968154976,0.4085178956938399,0.28938816153670943,0.09749994483812119,0.47614111740939913,0.3350615721706818,0.44312509837508607,0.31320209796688225,0.41992947016134097,0.41200514184575254,0.5650233139656227,0.2979020387247623,0.3537768533995205,0.22724484296494873,0.3925659486802764,0.3877419271114272,0.417950245803274,0.3368816471361181,0.2676482440486706,0.3519807581022676,0.34078130525992234,0.0,0.4154321452558244,0.05162887607280553,0.18805757111279697,0.2596288625904164,0.2769311737191812,0.18379976037592705,0.16698858912246894,0.10763320660512132,0.4329596394687276,0.45786780711342834,0.2250179507788086,0.4020043857424418,0.6531802179847825,0.540735978761022,0.4369997869341745,0.4145819389621497,0.3735524536455388,0.31808645521441936,0.39370380352811574,0.24106504896861458,0.49578296760877383,0.2097220301695205,0.2550423765995621,0.49055671968683623,0.2999182221593133,0.42306004083510973,0.23345663395919913,0.4067618039980625,0.2500342152874754,0.1448096789986666,0.41345710824185855,0.30424393174603614,0.5714579877798032,0.28539275874204795,-1.509903313490213e-14,0.2259173261981634,0.19718901077941642,0.3094829372513598,0.18551300765620793,0.29695547484310625,0.24262188669043483,0.2711769410725844,0.19412371454535338,0.14399561968403873,0.29906679756084364,0.27438749955692454,0.08458583696234934,0.025366603472163907,0.11865303735867938,0.38420294648959596,0.3186075233364669,0.29188303338322097,0.4444088411320294,0.31461365227004034,0.4739781166913244,0.46653349702721847,0.3209574564595282,0.4071560185327662,0.2958164975825234,0.3021605389810873,0.32295461065804887,0.31433243964789415,0.4690236391567222,0.41923345491813835,0.15594394072229345,0.3475334838976363,0.16137033686583802,0.023638192362556154,0.24179069494442484,0.2458844212634851,0.23361708837152484,0.2691239373918214,0.24334126004495416,0.5470859477270851,0.14757414470819752,0.3342310532128795,0.2353864114846691,0.3587104881358555,0.20650079598804716,0.7349015159260035,0.3480642945576352,0.0113656327539704,0.5524222812411218,0.47734883577105847,0.4104835569780715,0.3732958694010384,0.4226467202484929,0.06143009478419381,0.36667252820772567,0.5049018774235849,0.5600119509482853
biexp,0.6134861887416911,0.6162428788546521,0.6828072923118602,0.7000499486141392,0.6050750796572074,0.7647994041771523,0.37799936756960406,0.4593498380089299,0.4852591756917811,0.4877406085033489,0.8682368844781639,0.758087391810036,0.8083702173371177,0.6048480460587842,0.8176086991475129,0.8114840720719543,0.715811452572299,0.8203075881536638,0.8180438963872756,0.6802223103754722,0.8517495103652113,0.8541725239254377,0.8114767492133759,0.9114015756243654,0.8003347174462521,0.6189523857471111,0.8200166358741071,0.8788187850236647,0.7961769039083817,0.6253535800535948,0.7303484528307056,0.0,0.8592108037333072,0.6119996451922058,0.7534765898647855,0.8305637453152959,0.911614838914577,0.6258594021559076,0.7479164992028192,0.8733492212333235,0.5963380557525542,0.7828439116778179,0.6520757550234817,0.8321621132546998,0.9662776155513954,0.7011170690684332,0.7773494552416879,0.6891171125082212,0.48339321126748525,0.695259250151862,0.8294648375579143,0.7318255379918852,0.7307906429486943,0.6237665191418438,0.9165858649621159,0.7105726028992203,0.7690468175637035,0.4230600406880338,0.7848102570033331,0.6490453620497945,0.7178277234632066,0.6062709369543867,0.699256473506751,0.9143582826650963,0.6962788024633486,0.7895383271918852,0.010470473161863336,0.8388268565123899,0.8595120451829679,0.6555708386427668,0.8355707398709679,0.70735677576935,0.9176607815610586,0.5071225854514466,0.6367832193321202,0.557582351192855,0.8405392368254154,0.7700623495813181,0.47654581831539145,0.412230664468348,0.5577371640406334,0.8463179391223519,0.6342932927051722,0.78795687532175,0.8551234295152307,0.8057854193117531,0.8273269132405818,0.658792523566922,0.8925871511612277,0.651784158122654,0.8621183551684994,0.8218773298569668,0.7035404937626966,0.7023514097625454,0.6341662700707622,0.8942594888052247,0.6106535547544115,0.7820637628031255,0.6861607954597586,0.43863613209458086,0.7199891565109167,0.4759182978066736,0.8419295793108448,0.9149690893107848,0.7418773713173095,0.9602705264205363,0.670690559632326,0.8187271540332963,0.7847132175197552,0.9046942159918916,0.5546722761197687,0.7692672298971208,0.8728973307577441,0.44909038196910633,0.922268131803127,0.8004822240091838,0.7928968526122299,0.8274849287120405,0.7267373811279305,0.4983517297813759,0.7614825527686329,0.8157182055142457,0.8020405151209925
bibeki,0.5575907074929423,0.6017100593697638,0.6289042557379119,0.6447605598915067,0.5802386466546281,0.7875492677864219,0.38875602508533147,0.4453201513956807,0.5203973629516482,0.5368240415588361,0.8533152809520363,0.756866687397259,0.7872909058212678,0.5999362206770062,0.8062741154768631,0.8331899429867516,0.6751516825471789,0.8300038164406525,0.8655259012731626,0.6644453299798517,0.8689466573109514,0.8168746642184265,0.7930833049861366,0.9022013360472494,0.7852761402911526,0.6156657488598838,0.8437137238885346,0.8654870249436664,0.7587052139881612,0.6940583136435241,0.7699379612145123,0.25424701462093124,0.8539745194675028,0.5943753520289354,0.7137880922173025,0.8430614623133358,0.8801581987389815,0.6575694575540145,0.7397745303015226,0.8929515203374535,0.5371210667482227,0.7420403651869943,0.6706090541880259,0.873049971923336,0.9570307553000719,0.6920713328355758,0.7467394223853483,0.6765514684567269,0.45019661987301185,0.6677926285315163,0.8509072867600974,0.6799918192847523,0.7504217716144531,0.6466667577832103,0.9144208243313484,0.7168605702646222,0.7559000367464802,0.43509988872107785,0.8072445390704218,0.6324614931889374,0.7254727105856003,0.6198606339490621,0.7158869104955001,0.8676279167592876,0.7468136461488436,0.80710592977543,-5.205137393327064e-06,0.8600938002150448,0.83298940301903,0.6426225998935653,0.8409180355390122,0.7442378420823879,0.9029763466545337,0.5633842958947959,0.615640020004329,0.5815109358218481,0.8365142626687571,0.724688317921282,0.47897466701376246,0.4009969918839563,0.539013239809921,0.8617763554122346,0.6361795416596484,0.8838834258598627,0.8821233769175444,0.8319858435739446,0.798570775738668,0.7337218802538441,0.8404420804317527,0.6836473380487007,0.8769569589343694,0.8765660939057163,0.7280840486418712,0.7519717550367333,0.600921052930687,0.8990490652920646,0.6043896736281744,0.7441252978044592,0.6819019185680076,0.4509057295291333,0.7540242190783576,0.5291472655807453,0.8436293820512095,0.8667648275940484,0.7451300387006183,0.9333254788667213,0.6176532699708007,0.8429001377512423,0.8278297182283783,0.9020423816597605,0.5313772989716243,0.7353407690596213,0.8765105169005765,0.4463697950207468,0.8497574336795893,0.8279982926983597,0.8312487179313142,0.8557142327292306,0.7880214944105453,0.5067874394636119,0.789301202930154,0.8373672725177483,0.7870559744574765
stretch,0.5518793535562965,0.5817919562072703,0.6143473441480807,0.6277454282571948,0.5014668519447771,0.756167709330128,0.41130898054921916,0.42365054560129023,0.5056707716813381,0.542714478703037,0.8347655376584918,0.7496050388300177,0.7278808533237495,0.5053223397373214,0.8146185108318804,0.8507572881124625,0.6465170719851219,0.8089418232503973,0.8641705988447429,0.6315615598337454,0.874795049807471,0.7991007275801143,0.8044894246354987,0.8868269528259201,0.7898012350340705,0.5953788500936916,0.841063642780545,0.8337813284402016,0.7183441226824665,0.6906612236614973,0.7650320596684723,0.46283018807913423,0.8440868598348078,0.6405065574473402,0.7269583859636122,0.8193246123864062,0.855422597930234,0.623895487092951,0.729829133081678,0.7999628996832427,0.5054726290163971,0.7119500115841041,0.6835967071866575,0.8723036747757987,0.9651092447256604,0.6812933729370041,0.672776898278139,0.6393809779274631,0.43550584319480556,0.6461819104659599,0.8511280276745451,0.6307546571707838,0.7426609143696389,0.5972294187777958,0.8970967348837898,0.6989421811255063,0.7008361652804153,0.4375583407914432,0.8083494869232045,0.6142982004923621,0.7009309510303878,0.6196479595321966,0.7150305544099211,0.8825131526419348,0.742173690970618,0.8188451482424608,0.5263036931488343,0.8614399441790639,0.7898070789202616,0.6154835637553733,0.8083043919556641,0.7223525736324518,0.8596362397248744,0.552501480294439,0.5731091396431098,0.5557551099485442,0.7787056069035316,0.7213039146154974,0.485880635144917,0.4605761646015011,0.5299131169933222,0.7989488444474293,0.6314492092589251,0.8338764652984525,0.8680476953388513,0.803497866856799,0.7529153628967552,0.7302282248280983,0.7952410954063648,0.6742764519354046,0.8318281214146594,0.8601714699784123,0.6865801993345313,0.7431241056545681,0.5827903282940402,0.8838479876427007,0.5958521696779098,0.6847035354101514,0.6774550990709927,0.49406314118968,0.7416808382377695,0.5112164850962958,0.7929911089308161,0.8298527908662509,0.7452346915854917,0.9395510577679684,0.6508252609303331,0.8448785592123959,0.8275082611444664,0.8963597554581146,0.48898652707839196,0.7737873171180383,0.8801841262805725,0.48531184931674853,0.839551218391213,0.8231774755767309,0.836688735089015,0.8535219080293146,0.7797556169088309,0.44086961728653173,0.7878262066889646,0.8297918146614355,0.7494372694567603
shiftbeki,0.5557852606371817,0.5929078135952719,0.6220308848714609,0.6328179156611444,0.5418555226552488,0.7533150660953665,0.3887560250779585,0.4275700705406873,0.5203973629515107,0.5368240415376757,0.8417728429397711,0.7533754607282573,0.761287303943839,0.5978378751575394,0.8062741154721899,0.833189942997866,0.6555623373218988,0.8215321925486043,0.8655259012731574,0.637663631255897,0.8689466573393867,0.8132057246403169,0.7930833049824663,0.9022012376991156,0.7845599247198016,0.600263172174915,0.8431266141862921,0.8498887533772019,0.7300141311075239,0.6940583136433586,0.7694085115264089,0.2542470137186432,0.8503727907657727,0.5943753518358319,0.7137880922350937,0.8418705211358454,0.8768743085919151,0.653976352065085,0.7397745302964873,0.8917007471845615,0.511808644720672,0.7157481374798762,0.670609054183507,0.8730499719231835,0.9570307553000732,0.6862651968047996,0.6805995475813316,0.645690046839999,0.4401789963392303,0.6594908342661823,0.8509072867588223,0.6694785362307303,0.7463777659961353,0.6161563091901405,0.9144208243311981,0.7039991603135933,0.7185710692654022,0.43509989117069126,0.8072445390702974,0.6169585941474142,0.7146170698904537,0.6198606338944648,0.7158802019147481,0.8676279167572456,0.7447676434416719,0.8071059297696862,0.010467879927162249,0.8600938002072891,0.830700170992831,0.6299056029136195,0.8404954398634668,0.7367831970691675,0.9002521593622943,0.5580406707553206,0.6066619651224623,0.5792587007819063,0.8056971546273,0.7246883179188387,0.4789746669814062,0.4009969911792921,0.5390132398270977,0.8068601239772788,0.6350890342957498,0.845168617600069,0.8768565462884947,0.8195222892307852,0.7635406114484868,0.7337218802870897,0.8187153636710898,0.6777365052952404,0.8529063978512027,0.8705183461178254,0.707793748611953,0.7482132428877493,0.5901109310538233,0.89008456313578,0.6043896736793488,0.7133107978822106,0.68190191855656,0.4509057294423612,0.7478726707057781,0.5145261661728115,0.8231530272807297,0.8578086007447048,0.7451300128010541,0.933290372683723,0.6176532702459019,0.842900137750991,0.827827624232663,0.9018991885955124,0.5238190782466683,0.7353407690728422,0.8765105169013027,0.44636979501580987,0.8339842328614266,0.8267221274661625,0.8312487179109459,0.8557142327291472,0.7851314836762422,0.5067874394556362,0.7893012029301529,0.8350616337334121,0.7542836506226352
